Name,Usage,Lat,Lon
台北市玉成街A,0.44,25.0462461,121.5829051
台北市玉門街,0.62,25.0717238,121.5204263
台北市甘州街,0.62,25.0594212,121.5127942
台北市立功路,0.97,25.125446,121.4713393
台北市立德路,1,25.1260123,121.4717368
台北市伊通街A,1,25.0514006,121.534785
台北市伊通街B,1,25.0514006,121.534785
台北市伊通街C,1,25.0514006,121.534785
台北市光復北路,0.6,25.0550396,121.5558158
台北市光復北路11巷,0.94,25.0499669,121.5601646
台北市光復北路155巷,0.5,25.0554717,121.5564565
台北市光復北路165巷,0.87,25.0572438,121.5554256
台北市光復北路177巷,0.8,25.0579682,121.556171
台北市光復北路190巷,0.78,25.0545536,121.5542986
台北市光復北路230巷,0.94,25.0562281,121.5541665
台北市光復北路26巷,1,25.0489666,121.5572801
台北市光復南路17巷,0,25.0473556,121.559226
台北市光復南路180巷,0.71,25.0423751,121.556241
台北市光復南路22巷,0.56,25.0469574,121.5558042
台北市光復南路32巷,0.47,25.0464643,121.5558791
台北市光復南路33巷,0,25.0467958,121.5587086
台北市光復南路456巷,0.67,25.0353967,121.5567857
台北市光復南路46巷,0.94,25.0459551,121.5559464
台北市光復南路57巷,1,25.0458294,121.5586158
台北市光復南路6巷,0,25.0475575,121.5570292
台北市光復南路72巷23弄,0.6,25.0443457,121.5556135
台北市光復南路72巷7弄,0.89,25.0443244,121.5570989
台北市光復南路96巷,0.9,25.0439758,121.5561503
台北市光復南路A,1,25.037495,121.5575096
台北市光復南路B,0.67,25.0389439,121.5575437
台北市光輝路,0,24.9851087,121.5572316
台北市合江街,1,25.0585487,121.5391988
台北市合江街170巷,1,25.0607236,121.5385428
台北市吉林路26巷,1,25.0514542,121.5289645
台北市吉林路A,0.96,25.0573101,121.5301895
台北市吉林路B,0.7,25.0573101,121.5301895
台北市吉林路C,1,25.0573101,121.5301895
台北市吉林路D,0.58,25.0573101,121.5301895
台北市吉祥路,1,25.0500693,121.5625462
台北市同安街101巷,0.5,25.0215257,121.5209825
台北市同德路,0.94,25.0458378,121.5853694
